p,ford,fI,fII
10000103569,4140,495,195
10000118881,4200,482,218
10000173481,4866,556,255
10000184401,4548,503,255
10000304161,3978,453,210
10000310329,3780,432,198
10000441201,3780,441,189
10000441441,4002,474,193
10000557361,4020,481,189
10000584049,3312,377,175
10000598521,4518,518,235
10000616641,4218,496,207
10000656121,4020,478,192
10000694089,3858,434,209
10000710721,4422,505,232
10000717609,4356,506,220
10000782289,4080,442,238
10000815841,3864,453,191
10000896361,3882,440,207
10000900849,3936,452,204
10000912321,3516,400,186
10000970281,4410,492,243
10000973761,4158,492,201
10000987921,4236,486,220
10000995601,4908,539,279
10001016481,4146,472,219
10001036761,3870,441,204
10001036809,4080,449,231
10001047681,3894,438,211
10001069521,4398,490,243
10001071081,4560,554,206
10001076409,4392,507,225
10001165329,4002,457,210
10001195689,3780,434,196
10001207329,3798,440,193
10001237401,4296,529,187
10001342521,4560,508,252
10001361241,4548,517,241
10001367601,3708,418,200
10001439361,3750,466,159
10001460841,3918,449,204
10001467921,4728,581,207
10001500609,3894,457,192
10001504041,3756,411,215
10001553409,3882,452,195
10001570041,4224,486,218
10001584849,3864,451,193
10001661121,4650,543,232
10001717881,4884,571,243
10001773609,3636,438,168
10001848081,4380,500,230
10001875321,4026,464,207
10001877601,4614,525,244
10001913601,4500,530,220
10001927329,3924,467,187
10001929081,4248,500,208
10002006169,4086,510,171
10002053161,3834,450,189
10002080089,4074,493,186
10002089161,3666,440,171
10002141241,3978,463,200
10002250561,4374,480,249
10002292609,3972,420,242
10002320329,4122,482,205
10002325369,4632,534,238
10002372769,4074,447,232
10002518761,3348,390,168
10002540409,3660,404,206
10002596041,4206,473,228
10002603601,3774,450,179
10002604921,3912,447,205
10002639529,4164,476,218
10002660361,3840,450,190
10002691609,4314,484,235
10002715321,4284,523,191
10002718441,3882,447,200
10002762361,3822,454,183
10002776281,4122,492,195
10002790561,4536,527,229
10002854401,4104,501,183
10002942889,4536,537,219
10003000921,4038,484,189
10003056361,4902,544,273
10003066921,4332,496,226
10003086241,4398,522,211
10003089721,4512,532,220
10003107409,3852,452,190
10003120009,4392,494,238
10003128529,3702,425,192
10003136641,4056,486,190
10003145881,4032,463,209
10003173049,3750,424,201
10003207369,4284,497,217
10003237729,3570,406,189
10003265281,4320,505,215
10003270201,4020,454,216
10003298761,4194,499,200
10003337521,4470,516,229
10003344121,3660,435,175
10003418881,3480,416,164
10003559281,4518,538,215
10003561681,3690,432,183
10003584361,4032,478,194
10003606369,3636,417,189
10003615441,3828,461,177
10003676929,4224,473,231
10003704481,4128,467,221
10003770001,4008,455,213
10003832281,4356,505,221
10003858489,4794,551,248
10003897201,3894,445,204
10003948249,3516,427,159
10003953961,3666,408,203
10003956169,4554,522,237
10003959289,4800,541,259
10003964161,4122,489,198
10003972801,3996,502,164
10003993561,3756,429,197
10004000161,4326,514,207
10004050681,4170,500,195
10004075761,3834,457,182
10004079121,3768,428,200
10004130361,4080,462,218
10004134009,4182,484,213
10004150641,3882,438,209
10004158921,4122,479,208
10004187649,3384,412,152
10004315161,5046,586,255
10004334649,3534,418,171
10004353921,3912,429,223
10004371441,4806,562,239
10004395129,4572,534,228
10004439481,3798,429,204
10004480641,3870,451,194
10004506009,3894,456,193
10004517961,4092,447,235
10004533009,4056,488,188
10004564761,3936,492,164
10004604481,3558,404,189
10004610841,3870,438,207
10004612641,4554,510,249
10004655049,3480,401,179
10004682241,4074,450,229
10004753641,4566,505,256
10004798521,3744,434,190
10004839321,4260,492,218
10004925841,3594,416,183
10004968801,4332,469,253
10004992321,4410,518,217
10005054361,3672,445,167
10005100561,4044,463,211
10005112441,4242,479,228
10005116521,4482,531,216
10005215089,3846,443,198
10005247849,4158,491,202
10005377281,4326,530,191
10005398041,4308,498,220
10005460921,3264,382,162
10005483601,4308,492,226
10005529249,3786,454,177
10005553321,4338,507,216
10005555169,3570,414,181
10005569401,3840,449,191
10005584689,4308,490,228
10005637321,4632,541,231
10005640129,4566,557,204
10005646561,3882,427,220
10005659161,3990,454,211
10005668401,3648,420,188
10005678601,4062,462,215
10005684529,4686,557,224
10005692761,3846,430,211
10005699001,4578,523,240
10005740809,3594,395,204
