p,ford,fI,fII
1000609,1224,137,67
1000969,1134,127,62
1001401,768,88,40
1001569,1440,164,76
1001809,1110,124,61
1002121,1194,136,63
1002241,834,96,43
1002289,990,115,50
1002481,696,82,34
1004089,1056,119,57
1004161,834,93,46
1004761,990,110,55
1005481,780,88,42
1006441,930,101,54
1006609,1062,115,62
1007161,528,57,31
1008001,948,111,47
1009201,954,105,54
1009369,1062,123,54
1010809,1008,115,53
1010881,684,77,37
1011649,840,100,40
1011889,1014,116,53
1012201,1134,119,70
1012321,984,107,57
1012369,1152,131,61
1012489,1032,127,45
1013041,1092,114,68
1013329,798,84,49
1013401,828,94,44
1013569,1260,142,68
1014721,780,92,38
1014889,942,96,61
1015009,996,108,58
1015081,1068,129,49
1015561,732,86,36
1016089,876,96,50
1016401,588,66,32
1016569,1182,143,54
1016689,1032,118,54
1016929,708,90,28
1017361,840,85,55
1018201,1158,135,58
1019209,588,69,29
1019281,948,107,51
1019449,1326,158,63
1020049,1158,124,69
1020961,1014,122,47
1021129,1146,127,64
1021441,624,71,33
1021561,924,107,47
1022449,912,95,57
1023289,852,100,42
1023409,966,113,48
1024249,798,95,38
1024321,720,84,36
1024921,876,101,45
1025161,1290,139,76
1025641,912,105,47
1025929,768,89,39
1026481,738,75,48
1027321,714,82,37
1027489,756,78,48
1028329,810,89,46
1029001,900,101,49
1029289,960,108,52
1029361,924,92,62
1029841,960,109,51
1030201,696,84,32
1030369,1182,129,68
1030681,966,114,47
1030801,1038,110,63
1031521,1092,123,59
1031809,774,91,38
1032049,1278,142,71
1032649,864,91,53
1032721,1314,142,77
1033369,828,94,44
1033489,1050,109,66
1035241,852,94,48
1035409,864,96,48
1036249,1548,179,79
1036561,1098,121,62
1036681,648,74,34
1036729,780,89,41
1036921,1212,143,59
1037089,696,74,42
1037401,984,102,62
1037929,1086,125,56
1038409,624,65,39
1038529,1056,120,56
1038601,642,67,40
1039081,1056,110,66
1039249,738,85,38
1039921,864,96,48
1040089,888,114,34
1040449,828,99,39
1040881,828,93,45
1040929,1242,147,60
1041121,720,69,51
1041289,1230,138,67
1041889,1152,130,62
1041961,1392,163,69
1042609,810,85,50
1043401,846,96,45
1044289,816,77,59
1044409,876,102,44
1045081,912,101,51
1045129,1134,131,58
1045321,840,100,40
1045801,684,76,38
1046329,876,103,43
1046641,1116,131,55
1047649,876,107,39
1047841,900,101,49
1048009,828,81,57
1048609,804,91,43
1048681,1050,120,55
1049281,636,75,31
1050169,1386,156,75
1050961,942,101,56
1051009,876,102,44
1051849,1116,132,54
1052041,750,87,38
1052881,948,106,52
1053361,798,88,45
1053529,1008,113,55
1054201,1044,115,59
1054321,720,87,33
1054369,702,83,34
1055881,942,105,52
1056049,996,121,45
1056169,906,104,47
1056241,1266,138,73
1056721,768,92,36
1057249,972,103,59
1057561,1050,117,58
1057681,1014,95,74
1059769,810,84,51
1060201,822,97,40
1060249,840,87,53
1060441,1362,151,76
1061881,1470,163,82
1062121,906,96,55
1062601,666,75,36
1063441,570,66,29
1063561,876,100,46
1063609,1098,116,67
1063729,1014,123,46
1063969,642,80,27
1064281,726,84,37
1065409,834,98,41
1067329,672,74,38
1067761,1056,124,52
1068481,1014,114,55
1069441,624,67,37
1069609,1014,118,51
1070689,792,87,45
1071121,1122,114,73
1071529,1164,133,61
1071841,624,66,38
1072009,726,81,40
1072129,918,103,50
1072801,912,96,56
1072849,1074,119,60
1072969,1206,134,67
1073209,978,110,53
1073521,864,92,52
1073881,600,64,36
1074361,1014,101,68
1074481,966,112,49
1074649,930,108,47
1074889,984,104,60
1075201,1332,140,82
1075489,1116,119,67
1075561,912,104,48
1075729,1152,138,54
1076329,738,86,37
1076401,1104,138,46
