p,ford,fI,fII
10000001041,5880,726,254
10000003129,5670,683,262
10000003441,4806,542,259
10000005289,5784,678,286
10000006921,5562,652,275
10000007761,5676,683,263
10000009009,3804,457,177
10000009489,6078,763,250
10000010329,4140,495,195
10000010689,5592,634,298
10000011121,4662,559,218
10000011529,4398,518,215
10000011841,5064,597,247
10000012849,4992,584,248
10000013041,6366,743,318
10000013689,6576,774,322
10000014649,5544,666,258
10000015321,5304,646,238
10000016569,5508,625,293
10000017241,5688,629,319
10000017409,6354,776,283
10000018081,4704,554,230
10000020241,4260,492,218
10000020529,4866,585,226
10000020769,6666,813,298
10000021249,3714,449,170
10000021921,5688,684,264
10000022089,4992,616,216
10000022209,4728,554,234
10000023289,4140,474,216
10000023721,3900,460,190
10000023889,4416,514,222
10000024129,5796,672,294
10000025569,5652,678,264
10000026409,7464,950,294
10000028809,4416,503,233
10000030489,5634,676,263
10000030681,5142,587,270
10000031161,4896,580,236
10000031521,4806,599,202
10000033009,5298,661,222
10000033969,4974,577,252
10000034641,5280,614,266
10000035649,6408,789,279
10000036369,5256,646,230
10000037161,5250,601,274
10000037209,6180,732,298
10000037401,7416,869,367
10000038241,5478,643,270
10000039249,5148,631,227
10000039561,5820,665,305
10000039681,4968,587,241
10000039921,4050,466,209
10000042081,5340,645,245
10000042369,5598,657,276
10000044049,6222,722,315
10000044289,5238,605,268
10000045129,4824,557,247
10000045801,5094,580,269
10000046449,5604,655,279
10000048489,5700,654,296
10000050001,6306,761,290
10000050169,6120,738,282
10000050481,4968,557,271
10000051681,4686,553,228
10000053289,5412,643,259
10000054849,5076,605,241
10000056721,6384,778,286
10000056889,6588,756,342
10000057201,4428,515,223
10000057489,4146,491,200
10000057729,4830,550,255
10000058881,5142,631,226
10000059169,5376,644,252
10000059721,5352,629,263
10000060561,5250,613,262
10000061761,4668,542,236
10000062361,4566,518,243
10000063201,5520,710,210
10000064089,5310,661,224
10000064929,4800,557,243
10000066561,5346,642,249
10000067281,4674,543,236
10000067569,5238,595,278
10000067809,5034,556,283
10000069081,4866,563,248
10000069129,5562,657,270
10000069801,4782,558,239
10000070161,4920,575,245
10000072441,5430,656,249
10000074001,4194,485,214
10000074289,5034,572,267
10000074529,4536,519,237
10000076809,4962,589,238
10000077049,5562,672,255
10000077481,6456,831,245
10000077889,6120,708,312
10000079569,6150,725,300
10000080241,5484,641,273
10000081081,5004,584,250
10000081681,5202,612,255
10000082569,4740,555,235
10000082689,6324,714,340
10000083241,5046,578,263
10000083409,5796,678,288
10000083529,6078,754,259
10000084201,5856,659,317
10000084249,4836,558,248
10000085281,5592,660,272
10000085881,4962,593,234
10000086049,6090,762,253
10000086961,5946,705,286
10000087441,5832,686,286
10000089289,4566,544,217
10000090129,4962,571,256
10000091161,4494,522,227
10000092001,4962,553,274
10000092481,4698,546,237
10000093009,4776,567,229
10000093849,4488,533,215
10000094281,5694,669,280
10000096681,4530,481,274
10000096801,5724,694,260
10000098529,4350,494,231
10000099561,4890,589,226
10000100161,4620,554,216
10000100329,6174,745,284
10000100401,5406,656,245
10000101721,5016,580,256
10000103569,4140,495,195
10000103929,5562,659,268
10000104409,5082,606,241
10000106209,5040,624,216
10000106929,4638,532,241
10000107121,4824,565,239
10000108561,4344,522,202
10000109401,5196,636,230
10000109641,5736,650,306
10000111081,5268,614,264
10000111129,5382,629,268
10000111321,5262,630,247
10000111801,5304,614,270
10000111969,4338,498,225
10000112641,4602,514,253
10000114321,4650,571,204
10000114441,4164,487,207
10000114609,5796,670,296
10000115161,4950,573,252
10000118041,5610,675,260
10000118809,5610,642,293
10000118881,4200,482,218
10000119361,4572,523,239
10000120561,5430,633,272
10000122409,5826,683,288
10000123249,5310,635,250
10000123729,5652,651,291
10000124089,4974,586,243
10000124401,4806,541,260
10000130281,5202,644,223
10000130449,4344,520,204
10000130809,5358,650,243
10000131121,5664,668,276
10000131649,5916,684,302
10000133161,6702,822,295
10000134769,4638,539,234
10000135441,4830,582,223
10000135609,5166,624,237
10000135681,8490,974,441
10000138201,4974,555,274
10000139521,5136,579,277
10000140361,5910,645,340
10000140649,5592,647,285
10000141321,4374,508,221
10000141561,5202,591,276
10000141729,6180,737,293
10000143409,4494,498,251
10000143841,5292,639,243
10000147249,4734,553,236
10000147441,4860,552,258
10000147921,4668,544,234
10000148089,6510,793,292
10000148281,6390,761,304
10000148881,5130,600,255
10000150969,5208,598,270
10000152121,5460,607,303
10000152289,5028,613,225
10000152961,5244,618,256
10000153081,4542,531,226
10000153489,5892,738,244
10000153921,4146,489,202
10000154161,6228,736,302
10000154641,4908,568,250
10000156609,4302,493,224
10000157161,5352,624,268
10000157329,5274,628,251
10000157689,4656,537,239
10000158001,4938,577,246
10000158361,5928,690,298
10000159009,4818,520,283
10000161361,5238,593,280
10000162369,5484,640,274
10000162729,5628,662,276
10000163209,5976,702,294
10000164049,5220,620,250
10000164169,5838,693,280
10000165081,5442,646,261
10000166521,4938,606,217
10000166929,4830,570,235
10000168609,6000,729,271
10000169761,4254,501,208
10000169929,5316,640,246
10000170121,5820,709,261
10000170289,4656,539,237
10000171801,6126,683,338
10000172641,5364,616,278
10000173481,4866,556,255
10000173961,5334,666,223
10000175089,5382,645,252
10000175161,4416,507,229
10000175929,4608,536,232
10000176841,5814,690,279
10000178449,6000,718,282
10000178689,5172,615,247
10000180129,4674,505,274
10000180369,4284,499,215
10000181641,5592,673,259
10000181689,4692,534,248
10000183489,5298,617,266
10000184401,4548,503,255
10000185001,4572,530,232
10000186849,4038,505,168
10000187761,5568,616,312
10000187929,6456,763,313
10000189369,5136,617,239
10000190929,5928,700,288
10000192129,6066,715,296
10000193641,4734,549,240
10000194289,4986,589,242
10000194481,5298,621,262
10000195801,6204,699,335
10000196329,4764,536,258
10000197601,5112,607,245
10000198321,4584,552,212
10000199281,5694,689,260
10000200121,5244,636,238
10000200169,4470,541,204
10000200361,5472,636,276
10000201369,5772,672,290
10000202041,5220,633,237
10000202209,6150,722,303
10000205161,5544,658,266
10000205209,4500,520,230
10000205881,4446,510,231
10000206001,4614,545,224
10000206241,4590,532,233
10000207561,5604,646,288
10000207681,5184,653,211
10000208089,5442,652,255
10000209361,4632,530,242
10000210249,5250,610,265
10000210921,5178,653,210
10000211041,5346,640,251
10000211209,5130,600,255
10000212049,4416,520,216
10000212289,5856,642,334
10000212961,6522,791,296
10000213801,5748,690,268
10000214281,4752,550,242
10000215289,5160,592,268
10000215481,4146,499,192
10000216129,5712,666,286
10000216321,5592,651,281
10000217761,5364,643,251
10000218169,5310,638,247
10000218841,6756,784,342
10000220689,7032,813,359
10000221529,4410,496,239
10000221961,5004,608,226
10000223209,4398,515,218
10000223641,5124,593,261
10000225321,4710,551,234
10000226161,4860,595,215
10000227409,6066,690,321
10000228081,5292,607,275
10000228729,5706,647,304
10000229401,5016,611,225
10000230601,4734,527,262
10000232089,5472,645,267
10000232449,4194,496,203
10000233961,5070,560,285
10000234129,5712,670,282
10000234609,4650,569,206
10000234729,5040,585,255
10000234801,6666,811,300
10000235809,4638,522,251
10000236289,6126,741,280
10000236481,4404,507,227
10000237129,5322,639,248
10000237249,5070,566,279
10000237801,4800,554,246
10000237969,4854,557,252
10000238161,4944,572,252
10000238329,3924,439,215
10000238641,5796,686,280
10000239481,4284,506,208
10000239649,4668,575,203
10000240681,5088,599,249
10000241281,5124,599,255
10000241689,4788,574,224
10000242361,6276,743,303
10000244041,5484,661,253
10000245721,5820,638,332
10000247209,5664,675,269
10000249729,5616,633,303
10000249849,5496,671,245
10000250089,4878,563,250
10000250401,4950,573,252
10000251409,4404,507,227
10000252081,6534,779,310
10000252921,4926,597,224
10000254049,5334,643,246
10000254601,4206,491,210
10000254721,4818,574,229
10000255561,4836,595,211
10000255801,5412,590,312
10000256809,5442,644,263
10000258129,4230,486,219
10000259089,5982,721,276
10000259761,5598,698,235
10000260649,5172,639,223
10000263529,4656,559,217
10000263841,4806,565,236
10000263961,4614,543,226
10000264969,4836,595,211
10000265809,4926,598,223
10000265881,6000,701,299
10000266049,4506,514,237
10000266481,5430,624,281
10000267369,5298,601,282
10000267489,4920,576,244
10000268209,4608,566,202
10000268401,4716,569,217
10000269001,6204,793,241
10000269241,5388,638,260
10000270249,6366,780,281
10000271689,5208,646,222
10000273441,5658,660,283
10000274209,5142,624,233
10000274761,4728,538,250
10000276609,4272,495,217
10000276729,4152,466,226
10000277401,5622,652,285
10000278289,4704,541,243
10000279249,5520,614,306
10000279921,5220,635,235
10000280161,4992,603,229
10000280761,4404,522,212
10000281601,5346,658,233
10000281649,5094,620,229
10000282441,6870,841,304
10000284529,3966,443,218
10000284841,4212,487,215
10000285369,4140,466,224
10000285681,4758,561,232
10000286689,5244,608,266
10000286809,6018,715,288
10000288561,4446,524,217
10000289161,4908,570,248
10000289881,4878,593,220
10000290889,4236,500,206
10000292761,5238,619,254
10000293241,4608,523,245
10000293361,5352,641,251
10000293529,5700,675,275
10000296289,5496,635,281
10000296721,5292,653,229
10000296769,4986,612,219
10000297441,5298,646,237
10000299409,5130,596,259
10000299649,5472,646,266
10000300969,5382,619,278
10000301329,4896,593,223
10000302601,4632,549,223
10000303849,5754,633,326
10000304161,3978,453,210
10000304449,4512,526,226
10000305361,5208,600,268
10000306681,5046,568,273
10000306969,5076,581,265
10000307881,6312,734,318
10000308481,4590,545,220
10000310329,3780,432,198
10000310569,5640,680,260
10000311001,5952,660,332
10000311169,6540,729,361
10000311241,5616,664,272
10000313689,5544,665,259
10000313761,5364,605,289
10000313929,4800,590,210
10000315609,5202,613,254
10000315921,5532,667,255
10000316089,5598,654,279
10000316281,4362,520,207
10000317121,5190,633,232
10000317721,5460,676,234
10000318129,5862,716,261
10000318729,5910,710,275
10000319449,5148,616,242
10000321489,6438,743,330
10000322089,5400,633,267
10000325161,4752,554,238
10000326001,6054,724,285
10000326361,5670,655,290
10000326529,5382,642,255
10000327801,4236,486,220
10000328521,4734,566,223
10000330369,5004,600,234
10000332169,4602,535,232
10000332241,5166,567,294
10000332409,5358,615,278
10000333009,5208,625,243
10000334401,4968,598,230
10000334569,6402,788,279
10000336369,5268,615,263
10000336441,7392,869,363
10000337041,4974,588,241
10000337209,5244,619,255
10000337881,4446,527,214
10000337929,5082,574,273
10000338121,4782,565,232
10000338721,4488,519,229
10000338769,5076,609,237
10000342249,5034,562,277
10000343641,5628,686,252
10000343761,5196,600,266
10000344769,5484,664,250
10000345609,4866,561,250
10000348129,5334,641,248
10000348801,4758,555,238
10000349041,4764,560,234
10000349521,5652,704,238
10000349641,4884,550,264
10000349881,5598,639,294
10000350361,5094,623,226
10000350721,4092,452,230
10000350889,4398,529,204
10000352161,5148,633,225
10000353409,5838,706,267
10000354729,3996,495,171
10000355089,5256,622,254
10000355401,5538,648,275
10000355929,4812,555,247
10000356601,4782,557,240
10000358089,5268,648,230
10000358281,4314,503,216
10000359289,6132,734,288
10000359601,4836,559,247
10000360441,4722,559,228
10000360561,4392,487,245
10000360729,4272,498,214
10000362121,4794,532,267
10000362409,6054,732,277
10000362649,4914,584,235
10000363489,4626,543,228
10000364929,4440,542,198
10000366609,5274,603,276
10000367281,5952,678,314
10000367329,5052,598,244
10000368529,6126,717,304
10000369201,6876,848,298
10000369369,6318,755,298
10000370209,4662,561,216
10000370641,6180,710,320
10000371361,5628,654,284
10000371481,5382,620,277
10000371649,6228,747,291
10000373161,4284,503,211
10000374841,6198,753,280
10000374889,5946,644,347
10000375009,4176,471,225
10000375081,5256,620,256
10000376929,4734,543,246
10000377241,4698,544,239
10000377601,4590,532,233
10000379209,5664,703,241
10000379449,5052,569,273
10000380121,4146,511,180
10000382449,6270,728,317
10000382569,4764,537,257
10000383241,4848,592,216
10000384321,4776,571,225
10000384489,4926,568,253
10000385089,5784,678,286
10000386481,5094,595,254
10000386769,4830,541,264
10000387009,5778,690,273
10000387609,4968,603,225
10000387849,4212,481,221
10000389361,5484,634,280
10000390801,5094,630,219
10000391041,5040,589,251
10000393201,5658,696,247
10000393489,5118,592,261
10000393729,5820,705,265
10000395169,5784,733,231
10000396249,5232,623,249
10000396921,5280,652,228
10000397521,5328,630,258
10000397761,5448,645,263
10000398241,4554,524,235
10000398361,5496,657,259
10000399081,5124,596,258
10000399921,5922,714,273
10000400041,4944,566,258
10000400209,7374,876,353
10000401889,4854,597,212
10000402129,4764,565,229
10000403641,6324,759,295
10000405081,5424,670,234
10000405801,4596,541,225
10000405969,5190,602,263
10000406761,5826,656,315
10000407169,4296,508,208
10000408489,5532,661,261
10000409281,3750,419,206
10000410169,4404,526,208
10000410529,5430,694,211
10000411849,4638,524,249
10000411969,5364,624,270
10000412641,5202,632,235
10000412881,6594,784,315
10000413649,6132,714,308
10000417081,5076,620,226
10000418569,6114,733,286
10000418689,4434,502,237
10000419529,4740,562,228
10000420609,5160,598,262
10000421209,4422,504,233
10000421881,5304,622,262
10000422721,4062,466,211
10000422889,5604,641,293
10000423129,5676,647,299
10000424281,4278,524,189
10000426129,4602,556,211
10000427161,5424,638,266
10000427329,6102,693,324
10000427809,5016,586,250
10000428001,4548,543,215
10000429321,4902,579,238
10000430281,4644,550,224
10000433881,5370,635,260
10000434649,5388,660,238
10000434721,4956,571,255
10000434889,5376,614,282
10000435561,4692,548,234
10000437001,4614,542,227
10000437841,4128,487,201
10000438681,4818,559,244
10000440409,5928,691,297
10000441081,5868,715,263
10000441201,3780,441,189
10000441441,4002,474,193
10000442209,6126,736,285
10000442281,6444,795,279
10000442761,4842,578,229
10000443289,4134,471,218
10000443721,4548,531,227
10000443889,5256,652,224
10000444609,4662,553,224
10000446241,5328,625,263
10000446289,5412,609,293
10000446409,5076,586,260
10000446649,5964,697,297
10000447129,4836,560,246
10000447321,5826,662,309
10000449601,4446,522,219
10000449649,4392,506,226
10000451281,5664,647,297
10000452841,5538,658,265
10000452961,5382,639,258
10000455889,6492,812,270
10000456489,4122,488,199
10000459009,6642,837,270
10000460761,5316,605,281
10000460929,4530,529,226
10000462249,5430,633,272
10000462369,4362,528,199
10000462609,4002,478,189
10000463881,4764,563,231
10000464889,4962,560,267
10000464961,5094,634,215
10000465729,4866,577,234
10000467409,5196,571,295
10000468129,5496,629,287
10000468801,6582,791,306
10000468969,4956,574,252
10000469641,5820,733,237
10000471321,4608,538,230
10000471489,4974,580,249
10000473001,4848,556,252
10000473121,4584,532,232
10000473961,5802,681,286
10000475689,6822,805,332
10000477369,4926,586,235
10000477489,5364,659,235
10000477561,4542,545,212
10000478209,5586,706,225
10000478329,5046,590,251
10000478569,6258,716,327
10000480249,5484,624,290
10000481089,5202,625,242
10000481521,5130,590,265
10000481929,4758,584,209
10000482601,5430,647,258
10000483201,5454,614,295
10000484281,6000,712,288
10000484761,4710,559,226
10000485601,5136,629,227
10000485769,4788,547,251
10000486729,4938,570,253
10000487401,4602,543,224
10000487641,4110,445,240
10000488241,5322,621,266
10000488409,5352,625,267
10000490641,5454,633,276
10000491769,6402,747,320
10000492009,5034,609,230
10000492321,4992,591,241
10000492441,4818,537,266
10000492609,5472,611,301
10000493281,5154,601,258
10000494841,5142,601,256
10000494961,5076,584,262
10000495009,5784,710,254
10000495129,5136,601,255
10000495369,5190,624,241
10000495801,4866,568,243
10000496521,4728,582,206
10000497361,4842,587,220
10000497889,6312,744,308
10000498201,4842,541,266
10000499161,4746,579,212
10000500001,6216,742,294
10000500241,5016,583,253
10000500721,5280,627,253
10000501009,8106,934,417
10000501561,5244,642,232
10000502521,5022,605,232
10000502929,5586,678,253
10000503241,5412,631,271
10000503361,4890,613,202
10000505089,4530,534,221
10000505761,4812,577,225
10000507129,4872,582,230
10000507441,4764,570,224
10000507969,5334,615,274
10000508569,4218,498,205
10000509121,4410,534,201
10000509241,5988,730,268
10000509481,4212,507,195
10000511089,8676,978,468
10000512481,4410,500,235
10000513489,5502,667,250
10000513681,6630,781,324
10000513849,5550,647,278
10000515169,6678,768,345
